metric,pointCloud,method,BD-PSNR,BD-Rate
sym_yuv_psnr,boxer,IT-DL-PCC,3.3913352825965353,-67.91146063963308
sym_yuv_psnr,boxer,JPEG-Pleno,-1.377380328171508,128.09163975280654
sym_yuv_psnr,EPFL,G-PCC,-2.559304987282594,165.6051705234509
sym_yuv_psnr,EPFL,V-PCC,-1.4823309933584488,423.7036553812724
sym_yuv_psnr,EPFL,IT-DL-PCC,-0.587259043588204,54.377918389816024
sym_yuv_psnr,EPFL,JPEG-Pleno,-1.4266299323027032,191.65935335328692
sym_yuv_psnr,Unicorn,G-PCC,-7.158826178810723,1081.8197359377791
sym_yuv_psnr,Unicorn,V-PCC,-8.009886866149436,
sym_yuv_psnr,Unicorn,IT-DL-PCC,-3.883066836854358,
sym_yuv_psnr,Unicorn,JPEG-Pleno,-3.7526772392743433,4352.888546260001
sym_yuv_psnr,shiva,G-PCC,-2.75502903309739,150.76734480418165
sym_yuv_psnr,shiva,V-PCC,-1.746026850187365,-99.85114555360414
sym_yuv_psnr,shiva,IT-DL-PCC,-0.5424183726860573,2052.2790576775546
sym_yuv_psnr,shiva,JPEG-Pleno,-1.4678262074233688,634.6854167252376
sym_yuv_psnr,Arco,G-PCC,-2.5465428803357066,20.357573514264814
sym_yuv_psnr,Arco,V-PCC,-1.185279883980234,-82.89953230459172
sym_yuv_psnr,Arco,IT-DL-PCC,-1.1901132253964042,-62.99176055437492
sym_yuv_psnr,Arco,JPEG-Pleno,-1.1395191294707723,16.136588436308852
